Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Borough,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Star Nissan,20602 Northern Blvd,,Bayside,NY,11361,Queens,,718-423-0500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.758245,-73.776954,6/9/2020,44323,2023-02-15 22:45:41 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,Brooklyn,,718-376-0538,E,,Public - Call ahead,Dealership business hours; Nissan vehicle use only,,,,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,6/9/2020,44329,2023-02-15 22:45:41 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,,FALSE
ELEC,Nemet Motors,153-12 Hillside Ave,,Jamaica,NY,11432,Queens,,718-523-5858,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.707242,-73.803844,6/9/2020,44342,2023-02-15 22:45:41 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE
ELEC,Nissan of Queens,9325 Rockaway Blvd,,Ozone Park,NY,11417,Queens,,718-835-8300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.68117,-73.845621,6/9/2020,49938,2023-02-15 22:45:41 UTC,P,,,10/25/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE
ELEC,Dana Ford Lincoln,266 W Service Rd,,Staten Island,NY,10314,Staten,,718-983-8700,E,,Public - Call ahead,Dealership business hours; for customer use only,,,,,,1,,,Non-Networked,,GPS,40.587162,-74.194747,9/14/2023,64140,2023-09-14 14:01:49 UTC,P,,,11/1/2014,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,,FALSE
ELEC,Bay Ridge Municipal Parking Garage,8501 5th Ave,,Brooklyn,NY,11209,Brooklyn,,866-816-7584,E,,Public,,,,,,,5,,,EV Connect,http://evconnect.com/,GPS,40.621698,-74.02567,10/29/2023,65288,2023-10-29 01:03:16 UTC,,,,6/1/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,St. George Courthouse,54 Central Ave,,Staten Island,NY,10301,Staten,,866-816-7584,E,,Public,,,,,,,3,,,EV Connect,http://evconnect.com/,GPS,40.639469,-74.076912,10/29/2023,65296,2023-10-29 01:03:19 UTC,,,,8/8/2016,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Koeppel Nissan,74-15 Northern Blvd,,Jackson Heights,NY,11372,Queens,,877-505-6334,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,40.755072,-73.892094,6/9/2020,85969,2021-03-11 23:22:17 UTC,P,,,3/1/2017,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE
ELEC,Jerome 190th Street Municipal Parking,2478 Jerome Avenue,,Bronx,NY,10468,Bronx,,866-816-7584,E,,Public,,,,,,,5,,,EV Connect,http://evconnect.com/,GPS,40.86334,-73.900066,10/29/2023,94830,2023-10-29 01:03:17 UTC,,,,1/8/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ELEC,Nissan of Staten Island,1976 Hylan Blvd,,Staten Island,NY,10306,Staten,,718-447-3800,E,,Public,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.581432,-74.097694,6/9/2020,99500,2021-03-11 23:22:17 UTC,P,,,6/28/2018,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE
